algorithm,array_type,n,time_ns_median,time_ns_min,time_ns_max,char_comparisons,correct
std_quicksort,reverse_sorted,2900,434000,421600,508600,438730,1
std_mergesort,reverse_sorted,2900,199200,190000,215700,27346,1
string_quicksort_3way,reverse_sorted,2900,123900,110400,144500,29406,1
string_mergesort_lcp,reverse_sorted,2900,278000,228900,341400,11685,1
msd_radix_sort,reverse_sorted,2900,182100,179100,206000,0,1
msd_radix_quick_sort,reverse_sorted,2900,68300,60200,89900,12901,1
std_quicksort,reverse_sorted,3000,608700,505800,786700,465558,1
std_mergesort,reverse_sorted,3000,274000,200000,309500,28229,1
string_quicksort_3way,reverse_sorted,3000,115300,107800,138400,30635,1
string_mergesort_lcp,reverse_sorted,3000,226300,209100,272000,12058,1
msd_radix_sort,reverse_sorted,3000,191800,187900,236000,0,1
msd_radix_quick_sort,reverse_sorted,3000,67200,61400,88600,13373,1
std_quicksort,almost_sorted,100,15500,14400,18800,13684,1
std_mergesort,almost_sorted,100,4000,3800,6800,706,1
string_quicksort_3way,almost_sorted,100,1900,1700,4800,594,1
string_mergesort_lcp,almost_sorted,100,4700,4400,8900,363,1
msd_radix_sort,almost_sorted,100,8900,7900,11200,0,1
msd_radix_quick_sort,almost_sorted,100,2700,2500,5100,431,1
std_quicksort,almost_sorted,200,37300,32200,45600,30351,1
std_mergesort,almost_sorted,200,9000,8400,15200,1506,1
string_quicksort_3way,almost_sorted,200,4200,3900,7900,1310,1
string_mergesort_lcp,almost_sorted,200,9700,9300,13800,729,1
msd_radix_sort,almost_sorted,200,13100,12800,14400,0,1
msd_radix_quick_sort,almost_sorted,200,4700,4300,7200,877,1
std_quicksort,almost_sorted,300,51400,49600,54400,44095,1
std_mergesort,almost_sorted,300,20000,13700,23900,2522,1
string_quicksort_3way,almost_sorted,300,7300,6700,17800,2209,1
string_mergesort_lcp,almost_sorted,300,16000,14500,23300,1126,1
msd_radix_sort,almost_sorted,300,20900,20700,27000,0,1
msd_radix_quick_sort,almost_sorted,300,7600,6000,11800,1327,1
std_quicksort,almost_sorted,400,69600,68100,74200,59899,1
std_mergesort,almost_sorted,400,24900,21400,35000,3473,1
string_quicksort_3way,almost_sorted,400,10900,9400,18100,2975,1
string_mergesort_lcp,almost_sorted,400,25000,23000,32400,1519,1
msd_radix_sort,almost_sorted,400,27500,27200,42800,0,1
msd_radix_quick_sort,almost_sorted,400,7800,7500,13300,1785,1
std_quicksort,almost_sorted,500,82900,81700,89100,73118,1
std_mergesort,almost_sorted,500,28100,27000,44200,4766,1
string_quicksort_3way,almost_sorted,500,15100,12700,22100,3816,1
string_mergesort_lcp,almost_sorted,500,28700,26900,39000,1953,1
msd_radix_sort,almost_sorted,500,33300,32700,39500,0,1
msd_radix_quick_sort,almost_sorted,500,9600,9100,15700,2199,1
std_quicksort,almost_sorted,600,107700,103800,110600,90302,1
std_mergesort,almost_sorted,600,33700,32700,46400,5677,1
string_quicksort_3way,almost_sorted,600,35400,28800,39900,4777,1
string_mergesort_lcp,almost_sorted,600,55400,48700,66800,2370,1
msd_radix_sort,almost_sorted,600,40600,40100,42000,0,1
msd_radix_quick_sort,almost_sorted,600,12100,11100,22900,2646,1
std_quicksort,almost_sorted,700,123300,121500,129100,109207,1
std_mergesort,almost_sorted,700,42900,39400,51800,6879,1
string_quicksort_3way,almost_sorted,700,29900,20600,32900,5825,1
string_mergesort_lcp,almost_sorted,700,46400,42200,58600,2771,1
msd_radix_sort,almost_sorted,700,47100,46700,50700,0,1
msd_radix_quick_sort,almost_sorted,700,14600,13100,27600,3083,1
std_quicksort,almost_sorted,800,160600,156000,166000,122782,1
std_mergesort,almost_sorted,800,57400,51200,67800,8042,1
string_quicksort_3way,almost_sorted,800,32000,24100,39000,6728,1
string_mergesort_lcp,almost_sorted,800,55300,52300,78600,3206,1
msd_radix_sort,almost_sorted,800,55300,53900,57300,0,1
msd_radix_quick_sort,almost_sorted,800,16700,14900,28400,3545,1
std_quicksort,almost_sorted,900,160800,155800,161300,137270,1
std_mergesort,almost_sorted,900,57400,53000,65600,9355,1
string_quicksort_3way,almost_sorted,900,31300,27900,43000,7602,1
string_mergesort_lcp,almost_sorted,900,65500,56000,75500,3774,1
msd_radix_sort,almost_sorted,900,60100,59600,68700,0,1
msd_radix_quick_sort,almost_sorted,900,34700,18800,50500,3996,1
std_quicksort,almost_sorted,1000,193000,185200,380700,151797,1
std_mergesort,almost_sorted,1000,65700,61300,71400,10554,1
string_quicksort_3way,almost_sorted,1000,38900,32100,47500,8641,1
string_mergesort_lcp,almost_sorted,1000,80800,70200,88900,4113,1
msd_radix_sort,almost_sorted,1000,70700,66200,91400,0,1
msd_radix_quick_sort,almost_sorted,1000,25700,20600,38900,4451,1
std_quicksort,almost_sorted,1100,209600,194400,291700,165677,1
std_mergesort,almost_sorted,1100,73600,66800,98900,11790,1
string_quicksort_3way,almost_sorted,1100,42500,35700,58400,9598,1
string_mergesort_lcp,almost_sorted,1100,79400,76900,97700,4566,1
msd_radix_sort,almost_sorted,1100,73700,73200,74900,0,1
msd_radix_quick_sort,almost_sorted,1100,24600,21300,37600,4932,1
std_quicksort,almost_sorted,1200,223400,220900,236800,180259,1
std_mergesort,almost_sorted,1200,79300,76200,87100,12346,1
string_quicksort_3way,almost_sorted,1200,49700,47100,86000,11852,1
string_mergesort_lcp,almost_sorted,1200,86600,81800,110200,4977,1
msd_radix_sort,almost_sorted,1200,80800,79100,84200,0,1
msd_radix_quick_sort,almost_sorted,1200,33600,32100,43900,5400,1
std_quicksort,almost_sorted,1300,230800,229600,235500,199498,1
std_mergesort,almost_sorted,1300,89300,87200,94500,13864,1
string_quicksort_3way,almost_sorted,1300,48700,43800,62400,11728,1
string_mergesort_lcp,almost_sorted,1300,95800,85000,111600,5410,1
msd_radix_sort,almost_sorted,1300,86100,85800,88900,0,1
msd_radix_quick_sort,almost_sorted,1300,30400,26400,42700,5904,1
std_quicksort,almost_sorted,1400,237100,235100,250100,210258,1
std_mergesort,almost_sorted,1400,89100,82800,116700,15076,1
string_quicksort_3way,almost_sorted,1400,58000,46400,73300,12714,1
string_mergesort_lcp,almost_sorted,1400,104000,93900,120500,5696,1
msd_radix_sort,almost_sorted,1400,90900,90500,95800,0,1
msd_radix_quick_sort,almost_sorted,1400,32200,28400,47100,6336,1
